Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.6
valid 241 ====> Acc@1 86.000 Acc@5 99.370
train 242 ====> Acc@1 96.936 Acc@5 99.992
valid 242 ====> Acc@1 87.630 Acc@5 99.390
train 243 ====> Acc@1 96.680 Acc@5 99.984
valid 243 ====> Acc@1 84.530 Acc@5 99.170
train 244 ====> Acc@1 96.524 Acc@5 99.990
valid 244 ====> Acc@1 85.450 Acc@5 99.430
train 245 ====> Acc@1 96.544 Acc@5 99.976
valid 245 ====> Acc@1 86.480 Acc@5 99.550
train 246 ====> Acc@1 96.870 Acc@5 99.982
valid 246 ====> Acc@1 83.840 Acc@5 99.410
train 247 ====> Acc@1 96.600 Acc@5 99.974
valid 247 ====> Acc@1 85.870 Acc@5 99.260
train 248 ====> Acc@1 96.648 Acc@5 99.990
valid 248 ====> Acc@1 87.040 Acc@5 99.110
train 249 ====> Acc@1 96.700 Acc@5 99.986
valid 249 ====> Acc@1 86.760 Acc@5 99.380
train 250 ====> Acc@1 96.964 Acc@5 99.982
