Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1
valid 122 ====> Acc@1 73.480 Acc@5 98.150
train 123 ====> Acc@1 81.212 Acc@5 99.112
sparsity 123 ====> 51.94% || num_zero/num_total: 444445/855770
valid 123 ====> Acc@1 79.210 Acc@5 98.610
train 124 ====> Acc@1 81.366 Acc@5 99.102
sparsity 124 ====> 51.94% || num_zero/num_total: 444445/855770
valid 124 ====> Acc@1 67.760 Acc@5 96.990
train 125 ====> Acc@1 81.402 Acc@5 99.146
sparsity 125 ====> 51.94% || num_zero/num_total: 444445/855770
valid 125 ====> Acc@1 78.490 Acc@5 98.870
train 126 ====> Acc@1 81.574 Acc@5 99.106
sparsity 126 ====> 51.94% || num_zero/num_total: 444445/855770
valid 126 ====> Acc@1 73.460 Acc@5 97.670
train 127 ====> Acc@1 81.792 Acc@5 99.112
sparsity 127 ====> 51.94% || num_zero/num_total: 444445/855770
valid 127 ====> Acc@1 78.260 Acc@5 98.830
train 128 ====> Acc@1 81.822 Acc@5 99.190
sparsity 128 ====> 51.94% || num_zero/num_total: 444445/855770
valid 128 ====> Acc@1 71.320 Acc@5 98.030
train 129 ====> Acc@1 82.150 Acc@5 99.190
sparsity 129 ====> 51.94% || num_zero/num_total: 444445/855770
valid 129 ====> Acc@1 75.820 Acc@5 98.440
train 130 ====> Acc@1 82.262 Acc@5 99.212
sparsity 130 ====> 51.94% || num_zero/num_total: 444445/855770
valid 130 ====> Acc@1 77.720 Acc@5 98.720
train 131 ====> Acc@1 82.666 Acc@5 99.120
sparsity 131 ====> 51.88% || num_zero/num_total: 444013/855770
valid 131 ====> Acc@1 72.240 Acc@5 96.860
train 132 ====> Acc@1 82.582 Acc@5 99.164
sparsity 132 ====> 51.88% || num_zero/num_total: 444013/855770
valid 132 ====> Acc@1 72.420 Acc@5 97.980
train 133 ====> Acc@1 82.642 Acc@5 99.166
sparsity 133 ====> 51.88% || num_zero/num_total: 444013/855770
valid 133 ====> Acc@1 74.950 Acc@5 98.560
train 134 ====> Acc@1 82.872 Acc@5 99.204
sparsity 134 ====> 51.88% || num_zero/num_total: 444013/855770
valid 134 ====> Acc@1 74.140 Acc@5 98.310
train 135 ====> Acc@1 83.076 Acc@5 99.250
sparsity 135 ====> 51.88% || num_zero/num_total: 444013/855770
valid 135 ====> Acc@1 72.160 Acc@5 98.170
train 136 ====> Acc@1 83.046 Acc@5 99.230
sparsity 136 ====> 51.88% || num_zero/num_total: 444013/855770
valid 136 ====> Acc@1 63.240 Acc@5 95.260
train 137 ====> Acc@1 83.350 Acc@5 99.292
sparsity 137 ====> 51.88% || num_zero/num_total: 444013/855770
valid 137 ====> Acc@1 78.460 Acc@5 98.820
train 138 ====> Acc@1 83.442 Acc@5 99.272
sparsity 138 ====> 51.88% || num_zero/num_total: 444013/855770
valid 138 ====> Acc@1 79.050 Acc@5 98.850
train 139 ====> Acc@1 83.990 Acc@5 99.268
sparsity 139 ====> 51.88% || num_zero/num_total: 444013/855770
valid 139 ====> Acc@1 74.940 Acc@5 98.420
train 140 ====> Acc@1 83.610 Acc@5 99.298
sparsity 140 ====> 51.88% || num_zero/num_total: 444013/855770
valid 140 ====> Acc@1 75.530 Acc@5 98.300
train 141 ====> Acc@1 83.826 Acc@5 99.278
sparsity 141 ====> 51.88% || num_zero/num_total: 444013/855770
valid 141 ====> Acc@1 62.780 Acc@5 96.450
train 142 ====> Acc@1 83.816 Acc@5 99.306
sparsity 142 ====> 51.88% || num_zero/num_total: 444013/855770
valid 142 ====> Acc@1 75.060 Acc@5 98.300
train 143 ====> Acc@1 83.858 Acc@5 99.330
sparsity 143 ====> 51.88% || num_zero/num_total: 444013/855770
valid 143 ====> Acc@1 75.010 Acc@5 98.290
train 144 ====> Acc@1 84.556 Acc@5 99.326
sparsity 144 ====> 51.88% || num_zero/num_total: 444013/855770
valid 144 ====> Acc@1 72.580 Acc@5 98.310
train 145 ====> Acc@1 84.394 Acc@5 99.316
sparsity 145 ====> 51.88% || num_zero/num_total: 444013/855770
valid 145 ====> Acc@1 76.940 Acc@5 98.200
train 146 ====> Acc@1 83.900 Acc@5 99.316
sparsity 146 ====> 51.88% || num_zero/num_total: 444013/855770
valid 146 ====> Acc@1 74.000 Acc@5 98.370
train 147 ====> Acc@1 84.642 Acc@5 99.412
sparsity 147 ====> 51.88% || num_zero/num_total: 444013/855770
valid 147 ====> Acc@1 81.700 Acc@5 98.900
train 148 ====> Acc@1 84.404 Acc@5 99.406
sparsity 148 ====> 51.88% || num_zero/num_total: 444013/855770
valid 148 ====> Acc@1 78.510 Acc@5 98.600
train 149 ====> Acc@1 84.666 Acc@5 99.362
sparsity 149 ====> 51.88% || num_zero/num_total: 444013/855770
valid 149 ====> Acc@1 70.680 Acc@5 97.340
train 150 ====> Acc@1 84.870 Acc@5 99.366
sparsity 150 ====> 51.88% || num_zero/num_total: 444013/855770
valid 150 ====> Acc@1 74.880 Acc@5 97.920
train 151 ====> Acc@1 84.880 Acc@5 99.410
sparsity 151 ====> 51.88% || num_zero/num_total: 444013/855770
valid 151 ====> Acc@1 75.100 Acc@5 97.910
train 152 ====> Acc@1 84.782 Acc@5 99.432
sparsity 152 ====> 51.83% || num_zero/num_total: 443581/855770
valid 152 ====> Acc@1 75.910 Acc@5 98.270
train 153 ====> Acc@1 84.858 Acc@5 99.426
sparsity 153 ====> 51.83% || num_zero/num_total: 443581/855770
valid 153 ====> Acc@1 75.560 Acc@5 98.520
train 154 ====> Acc@1 85.242 Acc@5 99.402
sparsity 154 ====> 51.83% || num_zero/num_total: 443581/855770
valid 154 ====> Acc@1 79.370 Acc@5 99.110
train 155 ====> Acc@1 85.320 Acc@5 99.426
sparsity 155 ====> 51.83% || num_zero/num_total: 443581/855770
valid 155 ====> Acc@1 66.270 Acc@5 97.610
train 156 ====> Acc@1 85.608 Acc@5 99.460
sparsity 156 ====> 51.83% || num_zero/num_total: 443581/855770
valid 156 ====> Acc@1 79.120 Acc@5 98.640
train 157 ====> Acc@1 85.360 Acc@5 99.436
