Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.8
valid 153 ====> Acc@1 77.880 Acc@5 98.770
train 154 ====> Acc@1 83.514 Acc@5 99.274
sparsity 154 ====> 50.35% || num_zero/num_total: 430851/855770
valid 154 ====> Acc@1 78.340 Acc@5 98.770
train 155 ====> Acc@1 83.702 Acc@5 99.344
sparsity 155 ====> 50.35% || num_zero/num_total: 430851/855770
valid 155 ====> Acc@1 75.070 Acc@5 98.140
train 156 ====> Acc@1 83.990 Acc@5 99.358
sparsity 156 ====> 50.35% || num_zero/num_total: 430851/855770
valid 156 ====> Acc@1 74.200 Acc@5 98.340
train 157 ====> Acc@1 83.826 Acc@5 99.314
sparsity 157 ====> 50.35% || num_zero/num_total: 430851/855770
valid 157 ====> Acc@1 72.190 Acc@5 97.960
train 158 ====> Acc@1 83.934 Acc@5 99.356
